"coreshop", "CoreShop"
"coreshop_tax_rule_group_active","Active"
"coreshop_tax_rule_group_enter_the_name_of_new","Name of new Tax Rule"
"coreshop_tax_rule_group_saved_successfully", "Tax Rule saved successfully"
"coreshop_tax_rule_behavior_disable","This Tax only"
"coreshop_tax_rule_behavior_combine","Combine"
"coreshop_tax_rule_behavior_on_after_another","One after another"
"coreshop_tax_rule_country","Country"
"coreshop_tax_rule_tax","Tax"
"coreshop_tax_rule_behavior","Behavior"
"coreshop_order","Order"
"coreshop_cart","Cart"
"coreshop_orders_and_carts_from_last_days","Orders and Carts from last 31 days"
"coreshop_sales_from_last_days","Sales from last 31 days"
"coreshop_sales","Sales"
"coreshop_customer_group_add","Add Customer Group"
"coreshop_customer_group_discount","Discount"
"coreshop_customer_group_enter_the_name_of_new","Name of new Custome Group"
"coreshop_customer_group_saved_successfully", "Customer Group saved successfully"
"coreshop_customer_group_saved_successfully", "Customer Group saved successfully"
"coreshop_customer_group_saved_error","Customer Group could not be saved"
"coreshop_customer","Customer"
"coreshop_customer_groups","Groups"
"coreshop_customer_group","Customer Group"
"coreshop_customer_group_multiselect","Customer Group Multiselect"
"coreshop_order_by_number","Open order by number"
"coreshop_please_enter_the_number_of_the_order","Please enter order number"
