"coreshop", "CoreShop"
"coreshop_permission_filters","CoreShop Filters"
"coreshop_permission_indexes","CoreShop Indexes"
"coreshop_permission_plugins","CoreShop Plugins"
"coreshop_permission_shops","CoreShop Shops"
"coreshop_permission_states","CoreShop States"
"coreshop_permission_messaging_contact","CoreShop Customer Service Contacts"
"coreshop_permission_messaging_thread_state","CoreShop Customer Service State"
"coreshop_permission_product_price_rules","CoreShop Product Pricerules"
"coreshop_base_catalogmode","Catalog Mode"
"coreshop_base_guestcheckout","Guest Checkout"
"coreshop_taxes","Taxes"
"coreshop_tax_rate","Rate"
"coreshop_tax_active","Active"
"coreshop_taxrulegroups","Tax Rules"
"coreshop_tax_rule_group","Tax Rule"
"coreshop_tax_rule_group_active","Active"
"coreshop_tax_rule_behavior_disable","This Tax only"
"coreshop_tax_rule_behavior_combine","Combine"
"coreshop_tax_rule_behavior_on_after_another","One after another"
"coreshop_tax_rule_country","Country"
"coreshop_tax_rule_state","State"
"coreshop_tax_rule_tax","Tax"
"coreshop_tax_rule_behavior","Behavior"
"coreshop_order","Order"
"coreshop_cart","Cart"
"coreshop_orders_and_carts_from_last_days","Orders and Carts from last 31 days"
"coreshop_sales_from_last_days","Sales from last 31 days"
"coreshop_sales","Sales"
"coreshop_customer","Customer"
"coreshop_customer_group_multiselect","Customer Group Multiselect"
"coreshop_order_by_number","Open order by number"
"coreshop_please_enter_the_number_of_the_order","Please enter order number"
"coreshop_variant_generator","Variant Generator"
"coreshop_generate_variants","Generate Variants"
"coreshop_variant_generator_brick","Brick"
"coreshop_variant_generator_field","Field"
"coreshop_variant_generator_input","Values (CSV)"
"coreshop_plugins","Plugins"
"coreshop_productSpecificPrice","Specific Price"
"coreshop_base_checkvat","Validate VAT"
"coreshop_base_disablevatforbasecountry","Disable VAT for Base Country"
"coreshop_stock_defaultoutofstock_behavior","Default out of stock behaviour"
"coreshop_stock","Stock"
"coreshop_stock_deny_order","Deny Order"
"coreshop_stock_allow_order","Allow Order"
"coreshop_country_use_default_store_currency","Use Store default Currency"
"coreshop_orders","Orders"
"coreshop_orders_id","ID"
"coreshop_orders_orderNumber","Number"
"coreshop_orders_total","Total"
"coreshop_orders_orderState","State"
"coreshop_orders_orderDate","Date"
"coreshop_order_pdf","Invoice PDF"
"coreshop_freeshipping_price","Free Shipping starts at (Currency)"
"coreshop_freeshipping_weight","Free Shipping starts at (Weight)"
"coreshop_indexes","Indexes"
"coreshop_index_field_name","Name"
"coreshop_index_field_type","Type"
"coreshop_index_field_getter","Getter Class"
"coreshop_index_field_brickfield","Brick Field"
"coreshop_index_field_collectionfield","Collection Field"
"coreshop_index_field","Field"
"coreshop_indexes_selected_fields","Indexed Fields"
"coreshop_indexes_fields","Fields"
"coreshop_indexes_name","Name"
"coreshop_indexes_type","Type"
"coreshop_filters","Filters"
"coreshop_product_filters","Filters"
"coreshop_product_filter","Filter"
"coreshop_product_filters_resultsPerPage","Results per Page"
"coreshop_product_filters_order","Order"
"coreshop_product_filters_order_desc","descending"
"coreshop_product_filters_order_asc","ascending"
"coreshop_product_filters_orderKey","Order Key"
"coreshop_product_filters_index","Index"
"coreshop_product_filters_preconditions","Pre Conditions"
"coreshop_product_filters_filters","Filters"
"coreshop_product_filters_select","Select"
"coreshop_product_filters_multiselect","Multiselect"
"coreshop_product_filters_range","Range"
"coreshop_product_filters_field","Field"
"coreshop_product_filters_fields","Fields"
"coreshop_product_filters_boolean","Boolean"
"coreshop_product_filters_value","Value"
"coreshop_product_filters_values","Values"
"coreshop_product_filters_value_min","Min Value"
"coreshop_product_filters_value_max","Max Value"
"coreshop_index_field_classificationstore","ClassificationStore Field"
"coreshop_index_field_interpreter","Interpreter"
"coreshop_index_field_settings","Settings"
"coreshop_index_interpreter_settings","Interpreter Settings"
"coreshop_index_getter_settings","Getter Settings"
"coreshop_language","Language"
"coreshop_note_orderstate_change","%s"
"coreshop_note_orderstate_change_description","Changed Order-State to %s"
"coreshop_date","Date"
"coreshop_paymentProvider","Paymentprovider"
"coreshop_transactionNumber","Transactionnumber"
"coreshop_amount","Amount"
"coreshop_add_payment","Add Payment"
"coreshop_wkhtmltopdf_params","WKHTMLTOPDF Parameters"
"coreshop_more","CoreShop More"
"coreshop_open_invoice","Open Invoice"
"coreshop_reports","Reports"
"coreshop_report_carts","Cart Report"
"coreshop_report_sales","Sales Report"
"coreshop_report_day","Day"
"coreshop_report_day_minus","Day -1"
"coreshop_report_month","Month"
"coreshop_report_month_minus","Month -1"
"coreshop_report_year","Year"
"coreshop_report_year_minus","Year -1"
"coreshop_report_year_from","From"
"coreshop_report_year_to","To"
"coreshop_report_filter","Filter"
"coreshop_report_products","Products",
"coreshop_report_products_count","Count"
"coreshop_report_products_name","Name"
"coreshop_report_products_salesPrice","Sales Price"
"coreshop_report_products_sales","Sales"
"coreshop_report_products_profit","Profit"
"coreshop_report_categories","Categories",
"coreshop_report_categories_count","Count"
"coreshop_report_categories_name","Name"
"coreshop_report_categories_sales","Sales"
"coreshop_report_categories_profit","Profit"
"coreshop_report_customers","Customers"
"coreshop_report_customers_name","Name"
"coreshop_report_customers_count","Count"
"coreshop_report_customers_sales","Sales"
"coreshop_report_quantities","Available Quantities"
"coreshop_report_quantities_name","Name"
