"coreshop", "CoreShop"
"coreshop_order_state_invoice","Rechnung"
"coreshop_order_state_email","Email"
"coreshop_order_state_emailDocument","Email Dokument"
"coreshop_update","Update"
"coreshop_latest_version_already_installed","Letzte CoreShop Version bereits installiert."
"coreshop_server_is_currently_offline","CoreShop Update Server derzeit offline."
"coreshop_permission_carriers","CoreShop Versanddienste"
"coreshop_permission_zones","CoreShop Zonen"
"coreshop_permission_settings","CoreShop Einstellungen"
"coreshop_permission_priceRules","CoreShop Preisregeln"
"coreshop_permission_orderStates","CoreShop Bestellstaten"
"coreshop_permission_currencies","CoreShop Währungen"
"coreshop_permission_countries","CoreShop Länder"
"coreshop_permission_taxes","CoreShop Steuern"
"coreshop_permission_tax_rules","CoreShop Steuer Regeln"
"coreshop_permission_customer_groups","CoreShop Kundengruppen"
"coreshop_permission_filters","CoreShop Filter"
"coreshop_permission_indexes","CoreShop Indexes"
"coreshop_permission_plugins","CoreShop Plugins"
"coreshop_permission_manufacturers","CoreShop Hersteller"
"coreshop_base_catalogmode","Katalogmodus"
"coreshop_base_guestcheckout","Gast Checkout"
"coreshop_taxes","Steuern"
"coreshop_taxes_enter_the_name","Name der neuen Steuer"
"coreshop_taxes_add","Neue Steuer"
"coreshop_tax_rate","Rate"
"coreshop_tax_active","Aktiv"
"coreshop_taxrulegroups","Steuerregeln"
"coreshop_taxrulegroups_add","Neue Steuerregeln"
"coreshop_taxrulegroups_enter_the_name","Name der neuen Steuerregel"
"coreshop_tax_rule_group","Steuerregel"
"coreshop_tax_rule_group_active","Aktiv"
"coreshop_tax_rule_behavior_disable","Nur diese Steuer"
"coreshop_tax_rule_behavior_combine","Kombieren"
"coreshop_tax_rule_behavior_on_after_another","Eine nach der anderen"
"coreshop_tax_rule_country","Land"
"coreshop_tax_rule_state","Staat"
"coreshop_tax_rule_tax","Steuer"
"coreshop_tax_rule_behavior","Verhalten"
"coreshop_order","Bestellung"
"coreshop_cart","Warenkorb"
"coreshop_orders_and_carts_from_last_days","Bestellung und Warenkörne der letzen 31 Tage"
"coreshop_sales_from_last_days","Verkäufe der letzten 31 Tage"
"coreshop_sales","Verkäufe"
"coreshop_customergroups_add","Neue Kundengruppe"
"coreshop_customergroups_enter_the_name","Name der neuen Kundengruppe"
"coreshop_customergroups","Kundengruppen"
"coreshop_customer_group","Kundengruppe"
"coreshop_customer_group_discount","Rabatt"
"coreshop_customer","Kunde"
"coreshop_customer_group_multiselect","Kundengruppe Multiselect"
"coreshop_order_by_number","Öffen Bestellung mit Nummer"
"coreshop_please_enter_the_number_of_the_order","Bitte Nummer eingeben"
"coreshop_variant_generator","Varianten Generator"
"coreshop_generate_variants","Generiere Varianten"
"coreshop_variant_generator_brick","Brick"
"coreshop_variant_generator_field","Feld"
"coreshop_variant_generator_input","Werte (CSV)"
"coreshop_plugins","Plugins"
"coreshop_productSpecificPrice","Spezifischer Preis"
"coreshop_productSpecificPrice_add","Neuer Spezifischer Preis"
"coreshop_productSpecificPrice_enter_the_name","Name des neuen Spezifischen Preises"
"coreshop_base_checkvat","UID überprüfen"
"coreshop_base_disablevatforbasecountry","Deaktiviere Steuern für Standard Land"
"coreshop_stock_defaultoutofstock_behavior","Standard 'Wenn nicht auf Lager' verhalten"
"coreshop_stock","Lager"
"coreshop_stock_deny_order","Bestellung ablehnen"
"coreshop_stock_allow_order","Bestellung erlauben"
"coreshop_country_use_default_store_currency","Benutze Standard Währung"
"coreshop_orders","Bestellungen"
"coreshop_orders_id","ID"
"coreshop_orders_orderNumber","Nummer"
"coreshop_orders_total","Gesamt"
"coreshop_orders_orderState","Status"
"coreshop_orders_orderDate","Datum"
"coreshop_orders_invoice","Rechnung"
"coreshop_freeshipping_price","Gratisversand ab (Währung)"
"coreshop_freeshipping_weight","Gratisversand ab (Gewicht)"
"coreshop_invoice_not_generated","Rechnung wurde noch nicht erstellt"
"coreshop_indexes","Indexes"
"coreshop_indexes_add","Neu"
"coreshop_index_field_name","Name"
"coreshop_index_field_type","Typ"
